Código,Nombre,Descripción,Inicio,Fin,Estado,Sigla,Nombre,Tipo,,Tema,Total,Total Hombres,Total Mujeres,Departamento
COD5AK,"Mejora de las condiciones de salud a través del acceso a agua segura, saneamiento e higiene de los hombres, mujeres, niños y niñas vulnerables por el conflicto armado, en el corregimiento de Tierradentro, Departamento de Córdoba","Se distribuirán 400 tanques con capacidad volumétrica de 250 litros, cuyos materiales son inertes, de fácil limpieza y transporte, que no permitan la entrada de roedores o insectos ni que generen riesgos a la salud de las personas, para así mejorar las condiciones de almacenamiento de agua y aumentar su capacidad de almacenamiento a nivel familiar, asegurando un mínimo de 20 litros/persona/día. De igual manera se entregarán 400 sistemas familiares para el tratamiento de agua, los cuales son considerados tecnologías apropiadas por su fácil operación, mantenimiento y disponibilidad de repuestos en la zona, minimizando los riesgos en la salud de las familias asociados al consumo de agua contaminada.Previo a estas entregas y durante el proyecto se realizará el proceso de formación, donde se aplicará la metodología PHAST; creando espacios participativos donde mujeres, hombres, niños, niñas, jóvenes y adolescentes se involucren en la formación con la finalidad de aprender tecnologías apropiadas para el manejo del agua y prácticas de higiene que pueden ser aplicadas de una manera fácil, sin incurrir en mayores recursos y contando con los recursos disponibles en sus áreas geográficas.Con el fin de garantizar la calidad del agua consumida, se realizaran pruebas físico-químicas y microbiológicas al agua de las fuentes, para luego efectuar pruebas al agua en los puntos finales verificando su calidad de acuerdo a los estándares esferas y a los parámetro exigidos por la OMS. Las muestras serán tomadas por el equipo de CH, y en laboratorios certificados dependiendo de la disponibilidad de equipos en la oficina operativa",2015-08-26,2016-02-25,Finalizado,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,110000,"Agua, saneamiento e higiene (WASH)",2000 Directos,,,Córdoba
COJ1AA,"Innovación para suministro de asistencia humanitaria alimentaria de forma ágil, transparente y digna (Putumayo, Colombia)",,2015-12-01,2016-11-30,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,143000,Seguridad Alimentaria y Nutrición (SAN),737 Directos,,,Putumayo
TdH-2015-1,"Protección, Salud y WASH para NNA víctimas del conflicto armado","PROTECCION: Identificación, seguimiento y remisión de casos (violencia intrafamiliar, sexual, abuso, maltrato, etc.). Prevención del reclutamiento por grupos armados, reporte de casos identificados. Fortalecimiento de las capacidades de protección al nivel comunitario y auto-protección de los NNA.SALUD: Identificación, seguimiento y remisión de casos de malnutrición y enfermedades prevalentes de la infancia. Barridos nutricionales, seguimiento y restablecimiento de NNA en situación de desnutrición. Aplicación de las estrategias Seres de cuidado de Unicef, Entornos saludables de la OPS y Escuelas saludables.WASH: Acceso al agua potable (rehabilitación de sistemas existentes, construccción de pozos, distribución de filtros). Acceso a saneamiento básico (rehabilitación de letrinas, construcción de letrinas, baterias sanitarias, etc.). Sensibilización al higiene y acompañamiento en la gestión y mantenimiento de estructuras familiares y comunitarias. WASH in schools (agua, saneamiento y sensibilización a la higiene).Los tres ejes de trabajo implican igualmente una articulación fuerte con las institucionalidad de cada zona de intervención.. Se trabaja fuertemente con las Instituciones educativas. Al nivel comunitario el proyecto fortalece las capacidades locales formando agentes comunitarios en protección de la infancia y salud.",2015-01-01,2018-01-31,En ejecución,FTH,Fundación Tierra de Hombres,ONG Internacional,1200000,"Salud-Protección-Agua, saneamiento e higiene (WASH)",7000 Directos,,,Córdoba
ECHO/-SM/BUD/2015/91016,"Strengthen the resilience of rural communities in the department of Guajira, enhancing institutionalcapacities in DRM and reducing disaster related risks","Strengthen the resilience of rural communities in the department of Guajira, enhancing institutionalcapacities in DRM and reducing disaster related risks",2015-04-01,2016-09-30,En ejecución,CRA,Cruz Roja Alemana,Mvto Cruz Roja,784090,Recuperación Temprana,2000 Directos,,,La Guajira
72400116,Enhance education institutions and communities capacities for disaster preparedness and protectedenvironment for children.,Enhance education institutions and communities capacities for disaster preparedness and protectedenvironment for children.,2015-04-01,2016-09-30,En ejecución,Save the Children UK,Save the Children UK,ONG Internacional,529603,Educación en Emergencia (EeE),2360 Directos,,,Nariño-Cauca
CRC-01,"Proyecto DIPECHO IX, Fortalecimiento de la resiliencia de comunidades rurales  en el departamento de la Guajira y fortalecimiento de capacidades institucionales en el manejo de desastres y reducción de riesgos relacionados con desastres .",?Reducir vulnerabilidad y aumentar la resiliencia comunitaria                        *Incrementar la apropiación de los gobiernos locales en materia de Gestión de Riesgo de Desastres                         *Apoyar el proceso de una mayor vinculación de las FFMM en la Gestión de Riesgo de Desastres,2015-04-01,2016-08-01,En ejecución,CRC,Cruz Roja Colombiana,Mvto Cruz Roja,730510,Recuperación Temprana,9132 Directos,,,La Guajira
CRC-03,FOMENTO DEL DESARROLLO SOCIOECONÓMICO Y APOYO A LA CONSTRUCCIÓN DE LA PAZ EN COMUNIDADES VULNERABLES DE ZONAS RURALES EN CONTEXTO DE CONFLICTO ARMADO DE LOS DEPARTAMENTOS  DE ARAUCA Y  HUILA,"Fortalecer el desarrollo local integral, participativo y sostenible de 1.500 familias de comunidades de desplazados y colectivos vulnerables en áreas rurales afectadas por el conflicto armado en las municipalidades de Arauquita y Saravena (Dpto. Arauca), y Colombia, Baraya y Tello (Dpto. Huila); mejorando sus fuentes generadoras de ingresos y fortaleciendo sus derechos económicos, sociales, culturales, civiles y políticos",2014-04-15,2016-04-16,En ejecución,CRC,Cruz Roja Colombiana,Mvto Cruz Roja,793490,Temas Transversales,1500 Directos,,,Arauca-Huila
CS.0562,Gerencia de proyectos de reconstrucción de infraestructura de acueducto o saneamiento básico afectada por el fenómeno de la niña 2010 - 2011 en Chocó - Colombia,El proyecto tiene como objetivo contribuir a la estabilización comunitaria a través de la reconstrucción de infraestructura de agua potable y saneamiento básico afectada por el Fenómeno de la Niña 2010-2011 en 14 municipios del departamento de Chocó.  ,2014-03-04,2016-03-03,Finalizado,OIM,Organización Internacional para las Migraciones,Agencia ONU,1216906,"Agua, saneamiento e higiene (WASH)",,,,Chocó
CS.0641,Generación del infraestructura educativa en el marco del Plan de Acción sectorial del Departamento del Chocó - Colombia,"El proyecto tiene por objeto contribuir a garantizar el acceso a la educación a niños, niñas y jóvenes en el  departamento de Choco en zonas urbanas y rurales. Lo anterior en desarrollo del Plan de Desarrollo Educativo del Choco",2014-07-18,2016-04-30,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,5116675,Recuperación Temprana-Educación en Emergencia (EeE),3155 Directos,,,Chocó
RP.0074,Implementación del Sistema de Información VIVANTO de la Unidad de Administrativa Especial para la Atención y Reparación Integral a las Víctimas (UARIV) - Colombia,"contribuir a la consolidación de los sistemas y procesos en la Unidad Administrativa Especial para la Atención y Reparación Integral a las Víctimas (UARIV) para la trazabilidad de la víctima desde su declaración hasta la cesación de su vulnerabilidad, incluyendo enfoque diferencial y sujetos colectivos.",2015-02-01,2016-02-15,Finalizado,OIM,Organización Internacional para las Migraciones,Agencia ONU,126156,Protección,9 Directos,,,Bogotá D.C.
CS.0694,Convenio Unidades Móviles ,"Contribuir a la promoción de los Derechos y la Protección Integral de niños, niñas y adolescentes (NNA) víctimas del conflicto armado interno y sus familias en el marco del postconflicto y la preparación para la paz",2015-05-22,2016-05-31,En ejecución,OIM,Organización Internacional para las Migraciones,Agencia ONU,10353547,Protección,83647 Directos,,,Nacional-Antioquia-Atlántico-Bolivar-Boyacá-Caldas-Caquetá-Cauca-Cesar-Córdoba-Cundinamarca-Chocó-Huila-La Guajira-Magdalena-Meta-Nariño-Norte de Santander-Quindío-Risaralda-Santander-Sucre-Tolima-Valle del Cauca-Arauca-Casanare-Putumayo-Amazonas-Guainía-Guaviare-Vaupés-Vichada
DCV 226-012/2014,"Ayuda humanitaria para la población afectada por el conflicto armado en la región de Urabá  y Bajo Cauca, Colombia. ",Responder a las necesidades humanitarias de la población vulnerable afectada por el conflicto en Colombia. ,2015-01-15,2016-01-14,Finalizado,Caritas Alemania,Caritas Alemania,Agencia Cooperación,625000,"Salud Mental y Apoyo Psicosocial-Género-Temas Transversales-Seguridad Alimentaria y Nutrición (SAN)-Protección-Alojamiento y ayuda no alimentaria-Agua, saneamiento e higiene (WASH)",3790 Directos,,,Antioquia-Atlántico-Boyacá-Chocó-Córdoba-Cundinamarca-Magdalena-Nariño
OSRO/COL/502/EC,"Strengthening the Resilience of the Agricultural Sector in Colombia, by implementing a strategy of Agro-climatic Risk Management and its potential application in different territorial levels.",Improve the resilience of rural livelihoods in Colombia through the implementation of institutional and community-based initiatives that aim to protect agriculture production and food security to severe climate shocks.,2015-04-01,2016-09-30,En ejecución,FAO,Organización de las Naciones Unidas para la Agricultura y la Alimentación,Agencia ONU,541712,Sostenibilidad ambiental-Seguridad Alimentaria y Nutrición (SAN)-Recuperación Temprana,2500 Directos,,,Chocó
CC7502,"Dándole una oportunidad a la VIDA: Prevención de Suicidios en Niños, Niñas, Adolescentes y jóvenes adultos de la Comunidad indígena Embera (Alto Baudó, Chocó, Colombia)","Atención en salud mental a niños, niñas, jóvenes, adolescentes y adultos que ha hecho intento de suicidio y a familias de personas que han logrado suicidarse",2014-10-01,2016-09-30,En ejecución,H.A.I - Chocó,Heartland Alliance for Human Needs and Human Rights - Chocó,ONG Internacional,220000,Salud,1000 Directos,,,Chocó
14-CO1-633,"Reducir la vulnerabilidad de las personas afectadas por el conflicto armado y asegurar la participación, empoderamiento, no discriminación y generación de alianzas, involucrando a las comunidades y a la institucionalidad regional y local, en Colombia",,2015-01-01,2018-12-31,En ejecución,APS - Bogotá,Alianza por la Solidaridad - Bogotá,ONG Internacional,3291592,"Seguridad Alimentaria y Nutrición (SAN)-Salud-Protección-Agua, saneamiento e higiene (WASH)",24045 Directos,11819 Hombres,12226 Mujeres,Cauca-Nariño-Valle del Cauca
COF2AH,"WASH and Protection Humanitarian Response to People Affected by Armed Conflict in Nariño, Colombia ","This proposal is designed and responds to the humanitarian needs identified in a complex and protracted crisis such as in Nariño. The humanitarian context combines high levels of suffering among population (confined, IDPs) both because of threats against their lives and physical integrity of people, and the increased lack of basic services (public health and, especially water, sanitation and hygiene ? WASH).",2015-04-01,2016-03-31,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,1061697,"Agua, saneamiento e higiene (WASH)",15000 Directos,7350 Hombres,7650 Mujeres,Nariño
COF7AB,"Humanitarian assistance for vulnerable populations affected by the internal conflict and the armed violence in the departments of Cordoba, Putumayo and Nariño, Colombia.","This proposal is designed and responds to the humanitarian needs identified in a complex and protracted crisis such as in Nariño, Cordoba and Putumayo.Water, Sanitation and Hygiene (WASH) Improved access to safe water, to sanitation facilities and improved hygiene practices in men, women, children affected by conflict in the departments of Putumayo, Cordoba and Nariño.Nutrition and health.Reduced Anaemia prevalence and treatment of identified GAM cases in children and pregnant and lactating mothers",2015-04-01,2016-03-31,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,665616,"Seguridad Alimentaria y Nutrición (SAN)-Agua, saneamiento e higiene (WASH)",12950 Directos,6453 Hombres,6496 Mujeres,Córdoba-Nariño-Putumayo
4619-27,ASISTENCIA HUMANITARIA A LAS POBLACIONES VULNERABLES AFECTADAS POR EL CONFLICTO EN LAS ZONAS RURALES DEL CHOCÓ,"Esta acción se dirige a 21 comunidades afrocolombianas e indígenas de las zonas rurales del Medio Atrato y Bojayá, que se enfrentan a las consecuencias humanitarias de los conflictos armados y los desastres naturales frecuentes. La acción se centra en proporcionar acceso a agua potable y mejores prácticas de higiene, asistencia para la seguridad alimentaria y los medios de subsistencia, y medidas de reducción del riesgo de desastres.",2015-03-01,2016-03-31,En ejecución,FLM,Federación Luterana Mundial,ONG Internacional,422955,"Seguridad Alimentaria y Nutrición (SAN)-Protección-Agua, saneamiento e higiene (WASH)",4275 Directos,2042 Hombres,,Chocó
HI-2015-7,Reforzamiento de los servicios de reabilitación en colombia,Reforzar los centros de rehabilitación física rurales y las capacidades de los estudiantes de áreas afines,2014-01-01,2017-12-31,En ejecución,HI,Handicap Internacional,ONG Internacional,0,Salud,978 Directos,,,Cauca-Nariño
842377,Mejormiento sostenible de la situacion alimentario y de agua potable,"Fortalecimiento de la sociedad civil local para el requerimiento de los derechos humanos, para la alimentaciòn y el acceso a la tierra y agua, producciòn agroecologica, fortalecimiento de las iniciativas de comercializaciòn",2015-01-01,2016-01-01,Finalizado,HEKS/EPER,Hilfswerk der Evangelischen Kirchen Schweiz,Iglesia/Otro,0,"Agua, saneamiento e higiene (WASH)",5 Directos,,,Norte de Santander
COFE1501,Education in Colombia,Professional Development and Capacity Building; Basic Youth Education and Training; Participation in Advocacy and Policy Initiatives,2015-01-01,2016-01-01,Finalizado,NRC,Consejo Noruego para Refugiados,ONG Internacional,759493,Protección-Educación en Emergencia (EeE),14091 Directos,6700 Hombres,7391 Mujeres,Magdalena-Norte de Santander
COFL1501,"Improve access to registration, immediate Humanitarian Assistance and HLP rights for displaced persons. ","Procedures for IDP Registration; Housing, Land and Property",2015-01-01,2016-01-01,Finalizado,NRC,Consejo Noruego para Refugiados,ONG Internacional,1658227,Protección,19448 Directos,9530 Hombres,9918 Mujeres,Cauca-Magdalena-Nariño-Norte de Santander
COFE1504,Education in Emergency - SIDA,Facilitate access to protective learning environments to recently displaced children ,2015-01-15,2016-01-15,Finalizado,NRC,Consejo Noruego para Refugiados,ONG Internacional,520000,Protección-Educación en Emergencia (EeE),2200 Directos,1075 Hombres,1125 Mujeres,Cauca-Nariño-Norte de Santander
COFY1502,Response to Gender Based Violence in Colombia,Prevent and respond to Gender Based Vilonce in communities affected by forced displacement,2015-05-01,2016-03-01,Finalizado,NRC,Consejo Noruego para Refugiados,ONG Internacional,260000,Género-Temas Transversales,5491 Directos,1789 Hombres,3662 Mujeres,Norte de Santander-Nariño-Magdalena-Cauca
COFE1505,Protection and Humanitarias Assistances IDPs to Colombia,Conflict-affected children promptly access education in protective spaces,2015-06-01,2016-06-01,En ejecución,NRC,Consejo Noruego para Refugiados,ONG Internacional,381329,Protección-Educación en Emergencia (EeE),4000 Directos,1800 Hombres,,Cauca-Nariño-Norte de Santander
COFL1511,Protection and Humanitarian Assistance to IDPs in Colombia,Persons recently affected by displacement access registration and humanitarian assistance in accordance with internal law,2015-06-01,2016-06-01,En ejecución,NRC,Consejo Noruego para Refugiados,ONG Internacional,63367,Protección,1010 Directos,500 Hombres,510 Mujeres,Cauca-Nariño
COFL1505,BPRM Colombia,"Information, Counselling and Legal Assistance / Provide relevant information on IDPs entitlement to registration and humanitarian assistance / Provide or facilitate access to child friendly educational facilities (in coordination with authorities in the field)",2015-09-29,2017-09-29,En ejecución,NRC,Consejo Noruego para Refugiados,ONG Internacional,1500000,Protección,16780 Directos,8222 Hombres,8558 Mujeres,Arauca-Cauca-Chocó-Nariño-Norte de Santander-Putumayo
15-UF-CEF-020,"Protección Integral de los niños afectados por el conflicto armado,  específicamente por el reclutamiento y MAP / MUSE / AEI","La iniciativa busca: fortalecer el conocimiento y practicas de seguridad en comunidades que viven en constante riesgo por artefactos explosivos, soportar a las familias con ayuda psicológica. La intervención busca contribuir con la protección de la vida de los niños y adolescentes de estas zonas para que generen proyectos de vida lejos de la violencia.    ",2015-04-01,2016-01-01,Finalizado,UNICEF,Fondo de las Naciones Unidas para la Infancia,Agencia ONU,229836,Protección,2000 Directos,1000 Hombres,1000 Mujeres,Arauca-Putumayo
72781 - 2015,Desarrollo Económico incluyente,Fortalecidas las capacidades locales para el diseño y puesta en marcha de una política de inclusión productiva de grupos poblacionales vulnerables. Estrategias de empleo y desarrollo empresarial diseñadas. Capacidades fortalecidas para el desarrollo de Mercados Inclusivos.,2015-02-01,2016-01-01,Finalizado,PNUD - Antioquia,Programa de las Naciones Unidas para el Desarrollo - Antioquia,Agencia ONU,10000,Recuperación Temprana,1000 Directos,,,Antioquia
COLCU 9 - 2015,Actividades de fortalecimiento con las comunidades retornadas,Actividades de fortalecimeinto comunitario,2015-02-01,2016-01-01,Finalizado,ACNUR,Alto Comisionado de las Naciones Unidas para los Refugiados,Agencia ONU,5897,Protección,,,,Norte de Santander
ECHO/-SM/BUD/2015/91026,Salud íntegral para las poblaciones víctimas del conflicto armado en los departamentos de Nariño y de Guaviare.,"Servicios móviles de salud.                        *Brindar apoyo psicológico en situación de crisis.                                                                        *Fortalecimiento comunitario                               *formación  a líderes y lideresas comunitarios en la estrategia de entornos saludable.           *Formación en primeros auxilios  médicos y psicológicos .                                        *Acompañamiento a las víctimas del conflicto, al acceso de los servicios de salud, jurídica y de protección                 ",2015-04-01,2016-03-31,En ejecución,,Médicos del Mundo- Francia,ONG Internacional,934377,"Seguridad Alimentaria y Nutrición (SAN)-Salud-Agua, saneamiento e higiene (WASH)",12000 Directos,6235 Hombres,,Guaviare-Nariño
TUMACO-05,Derecho a la vida y integridad física,"La población de las comunidades Nuevo milenio, Familias en Acción y La Ciudadela de Tumaco se beneficia de un mayor respeto a los DD de vida e integridad.",2015-01-01,2016-02-01,Finalizado,OACNUDH,Oficina del Alto Comisionado para los Derechos Humanos - OACNUDH,Agencia ONU,0,Protección,,,,Nariño
TUMACO-06,Derecho a la salud,"Mejorar el acceso de la población de Nuevo Milenio, Familias en Acción y la Ciudadela en Tumaco  a un servicio de salud de mejor calidad y con enfoque diferencial",2015-01-01,2016-01-01,Finalizado,OACNUDH,Oficina del Alto Comisionado para los Derechos Humanos - Nariño,Agencia ONU,0,Salud,,,,Nariño
TUMACO-07,Entornos protectores para jovenes,"Servicio comunitario, derechos, memoria cultural e identidad. Jóvenes dinamizadores de procesos.",2014-01-01,2028-04-01,En ejecución,ACNUR,Alto Comisionado de las Naciones Unidas para los Refugiados,Agencia ONU,0,Protección,58 Directos,,,Nariño
TUMACO-09,Construcción de paz,Ayuda Humanitaria,2015-01-01,2020-01-01,En ejecución,APS - Nariño,Alianza por la Solidaridad - Nariño,ONG Internacional,0,Recuperación Temprana,,,,Nariño
OXFAM-TUMACO-10,Mejoramiento de acueductos comutarios x gravedad y pozo profundo. Promocioj de la higiene. Fortalecimiento organzizativos y acceso a medios de vida.,Mejoramiento de acueductos comutarios x gravedad y pozo profundo. Promocioj de la higiene. Fortalecimiento organzizativos y acceso a medios de vida.,2015-04-01,2017-04-01,En ejecución,,Oxfam Gran Bretaña - Nariño,ONG Internacional,0,"Seguridad Alimentaria y Nutrición (SAN)-Agua, saneamiento e higiene (WASH)",,,,Nariño
TUMACO-12,"Acceso a la Atención Integral en Salud Mental y Violencia Sexual , de la Población Victima de Conflicto Armado","Incrementar y Fortalecer el Acceso a la Atención Integral en Salud Mental y Violencia Sexual , de la Población Victima de Conflicto Armado y otras Situaciones de Violencia en el municipio de Tumaco y Dar Respuesta a Emergencias Médico Humanitarias en el Departamento.",2014-01-01,2017-01-01,En ejecución,MSF - España,Médicos Sin Fronteras España,ONG Internacional,0,Educación en Emergencia (EeE),107000 Directos,,,Nariño
82601186,Apoyo a la salud escolar en el suroccidente de Colombia,"Mejorar las condiciones de saneamiento básico y las prácticas de higiene y nutrición en siete instituciones educativos. Realizar incidencia a nivel municipal, departamental y nacional sobre el tema de nutrición.",2015-09-15,2018-03-15,En ejecución,Save the Children UK,Save the Children UK,ONG Internacional,385000,Salud,8000 Directos,,,Cauca-Nariño
COCA-01,"Niñas, niños y adolescentes de Cauca y Putumayo Construyendo la paz en Colombia","Contribuir en la construcción de paz, con la participación política efectiva de la niñez indígena, afrodescendiente y campesina (Resolución 1325), con énfasis en su protección frente a la violencia sexual (Resolución 1820), con enfoque intercultural y de género. ",2014-03-01,2016-03-01,Finalizado,CCA,Corporacion Casa Amazonia,ONG Nacional,163464,Salud Mental y Apoyo Psicosocial-Género-Temas Transversales-Protección,2520 Directos,1260 Hombres,1260 Mujeres,Putumayo
COCA-03,Fomentando el liderazgo de las Víctimas para Prevenir la Violencia Sexual,"Crear una red de mujeres víctimas de  violencia sexual y los profesionales que apoyan y acompañan en cinco regiones del país ( Putumayo , Nariño , Bolívar, Cesar y, Meta) para la prevención de la violencia sexual , tanto en el conflicto como en el post- conflicto.",2015-04-01,2016-04-01,En ejecución,CCA,Corporacion Casa Amazonia,ONG Nacional,148518,Protección,,,,Putumayo
COLC38,"Manejo integral del recurso hídrico, medios de vida y preservación del ambiente en territorio indígena Awá para fortalecer su resiliencia","Infraestructura sanitaria amigable con el medio ambiente diseñada conforme a enfoques diferenciales de género, etnia y niñezFortalecimiento de capacidades de autoprotección, participación y organización comunitaria, empoderando especialmente el rol de la mujer indígena. Entornos saludablesProgramas de mujer y familiaGuardia IndígenaSistemas de aguaSistemas de medios de vida sostenibles y adaptables al cambio climático considerando los  enfoques de género y etnia.Manejo de residuos sólidos y protección ambiental en sus territorios",2015-04-01,2019-04-01,En ejecución,Oxfam GB,Oxfam Gran Bretaña,ONG Internacional,570000,"Género-Cambio Climático-Temas Transversales-Protección-Agua, saneamiento e higiene (WASH)",4252 Directos,2224 Hombres,2028 Mujeres,Nariño
K-COL-2013-4190,"Medios de vida para la Estabilización de las Familias en Situación de Desplazamiento, Confinamiento o Altamente Vulnerables Debido a Afectaciones del Conflicto Armado y/o desastres de Origen natural en los Municipios de Granada y el Castillo en el Departamento del Meta, Soacha en Cundinamarca y la Ciudad de Bogotá.",,2014-12-18,2016-06-18,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,614891,"Seguridad Alimentaria y Nutrición (SAN)-Protección-Agua, saneamiento e higiene (WASH)",4846 Directos,,,Bogotá D.C.-Cundinamarca-Meta
K-COL-2014-4122,"Prevención y protección de NNAJ frente al reclutamiento, vínculación y utilización por parte de actores armados, y fortalecimientos y medios de vida en comunidades de Córdoba y Valle del Cauca",,2014-12-01,2016-11-30,En ejecución,,Diakonie Katastrophenhilfe Apoyo en Emergencias,ONG Internacional,937111,"Seguridad Alimentaria y Nutrición (SAN)-Protección-Agua, saneamiento e higiene (WASH)",6413 Directos,3078 Hombres,3335 Mujeres,Córdoba-Valle del Cauca
UTF/COL/058/COL,Desarrollo de Modelos Pedagógicos para la Producción de Alimentos de Autoconsumo como estrategia para el Fortalecimiento de Capacidades en los Centros Educativos de Soacha y una Obtención de Alimentos Saludable para los Comedores Escolares,"Concientizar la comunidad educativa de Soacha, en la importancia de la producción de alimentos sanos e inocuos y su incorporación en la dieta, como estrategia de prevención frente a enfermedades generadas por una mala alimentación.",2014-12-09,2016-03-31,En ejecución,FAO,Organización de las Naciones Unidas para la Agricultura y la Alimentación,Agencia ONU,106044,Recuperación Temprana,789 Directos,,,Cundinamarca
OSRO/COL/503/EC,"Rapid recovery of food security of vulnerable communities affected by the conflict and extreme climatic events, and Strengthening institutional capacities, as a mechanism for the contruction of peace and resilience.","Rehabilitate the production of food for own consumption and strengthen the technical capacities at community and institutional levels, as a strategy to strengthen social cohesion and generate resilience in areas that are affected both by conflict and recurrent extreme natural disasters.",2015-08-01,2016-07-31,En ejecución,FAO,Organización de las Naciones Unidas para la Agricultura y la Alimentación,Agencia ONU,503357,Transición hacia la paz-Seguridad Alimentaria y Nutrición (SAN)-Recuperación Tempran,4000 Directos,,,Nariño-Putumayo
PNUD201521,FOMENTO DEL DESARROLLO SOCIO - ECONÓMICO  Y APOYO A LA CONSTRUCCIÓN DE LA PAZ EN ZONAS RURALES DE ARAUCA Y HUILA,"Recuperación y fortalecimiento económico, físico y social de sus medios de vida de forma sostenible, tanto a nivel individual como colectivo,  Fortalecimiento de la cooperación entre la sociedad civil y las autoridades locales  mediante su reconocimiento como sujetos de derechos y deberes, y participando de la configuración de los planes de desarrollo comunitario y local en colaboración con las autoridades locales, Reforzar instrumentos de garantía de los derechos humanos y participación ciudadana desde una perspectiva de construcción de paz.",2014-04-01,2016-04-01,En ejecución,CRC,Cruz Roja Colombiana,Mvto Cruz Roja,1317210,Recuperación Temprana,6000 Directos,,,Arauca-Huila
PNUD201522,Apoyo económico,Empleabilidad en periodo de emergencia ,2015-01-01,2016-01-01,Finalizado,CICR - Córdoba,Comité Internacional de la Cruz Roja - Córdoba,Mvto Cruz Roja,80202,Recuperación Temprana,400 Directos,,,Valle del Cauca-Nariño-Cauca-Caquetá
7F-04979.06,"Mejora de los mecanismos de protección, acceso a derechos y cobertura de necesidades básicas en comunidades afrocolombianas, indígenas y mestizas afectadas por el conflicto en los Departamentos de Nariño, Cauca y Valle del Cauca.","La propuesta del proyecto se enmarca en una estrategia integral enfocada en la atención a la poblacion víctima del conflicto armado, que tiene como objeto la mejora de sus condiciones de vida y el acceso a sus derechos reconocidos por la normatividad jurídica colombiana, en la cual se abordarán acciones que cubran las necesidades primarias de la población meta (seguridad alimentaria / medios de vida, agua potable, saneamiento básico, etc.) insertándolas en el acceso a derechos a través del involucramiento de la institucionalidad competente y responsable.Por lo anterior, todas las acciones del proyecto se coordinarán con la institucionalidad colombiana para fortalecer sus mecanismos de respuesta, mejorar la complementariedad y evitar la duplicidad de esfuerzos.  Uno de los ejes normativos aglutinadores y articuladores será la Ley 1448 de 2011 Víctimas y Restitución de Tierras, la cual coadyuvará a tener definidos los titulares de obligaciones, los derechos debidos y los mecanismos para el acceso a los mismos. De tal manera que el objetivo último, que es el de conseguir que la población víctima del conflicto conozca y acceda a la consecución de sus derechos enmarcado en la legalidad colombiana, se sustentará en la Ley 1448.",2014-09-15,2017-02-15,En ejecución,APS - Bogotá,Alianza por la Solidaridad - Bogotá,ONG Internacional,3000000,"Seguridad Alimentaria y Nutrición (SAN)-Salud-Protección-Agua, saneamiento e higiene (WASH)",25082 Directos,12544 Hombres,12538 Mujeres,Cauca-Nariño-Valle del Cauca
COFE1303,Vive la Educación,"Apoyo a población de niños, niñas y jovenes desplazados desescolarisados a acceder servicios educativos",2013-03-01,2018-03-01,En ejecución,NRC,Consejo Noruego para Refugiados,ONG Internacional,10000000,Protección-Educación en Emergencia (EeE),12000 Directos,5760 Hombres,6240 Mujeres,Cauca-Nariño
12400020,Protecting children education in southwest Colombia,"Children and young people in the Departments of Nariño and Cauca have their right to access a relevant, quality education guaranteed",2013-03-27,2018-03-27,En ejecución,Save the Children UK,Save the Children UK,ONG Internacional,,,,6070 Directos,,Timbiquí-Sucre-Mercaderes-López-Florencia-El Tambo-Bolívar-Balboa-Argelia-Tumaco-Santa Bárbara-Roberto Payán-Olaya Herrera-Mosquera-MagÜi-La Tola-Francisco Pizarro-El Charco-Barbacoas
NR6,"Contrato de Subvención EIDHR/2014/329-833 Fortalecimiento de la participación de las comunidades AWÁ, NASA y MISAK por sus Derechos como Victimas y sus derechos y deberes electorales","Protección, es un proyecto de Derechos Humanos que busca la promoción y  protección de los Derechos Humanos, la participación y la representación política",2014-05-08,2016-05-08,En ejecución,CISP,Comitato Internazionale per lo Sviluppo dei Popoli ,ONG Internacional,406645,Protección,2000 Directos,,,Cauca-Nariño
7F-06138.04,"Mejora de la calidad de vida y de las condiciones de salud de la población afectada por el conflicto armado, a través del acceso integral a servicios de saneamiento básico, agua segura, seguridad alimentaria y medios productivos","Se ha contribuido a la mejora de la calidad de vida y las condiciones de salud de la población vulnerable afectada por el conflicto armado en los Departamento de Córdoba, Nariño y Putumayo, Colombia",2014-07-01,2016-12-31,En ejecución,ACH - Bogotá,Acción Contra el Hambre - Bogotá,ONG Internacional,4930000,"Agua, saneamiento e higiene (WASH)-Seguridad Alimentaria y Nutrición (SAN)",29528 Directos,,,Córdoba-Nariño-Putumayo
FLM-Arauca-01,PREVENCIÓN Y ATENCIÓN CON CAPACIDAD,"La población de Arauca en riesgo de accidentes y la discapacitada por accidentes con Contaminación por Armas - CPA, aumentan su capacidad de gestión e inciden en la política pública municipal y departamental de acción integral para víctimas por CPA.",2014-03-01,2017-03-01,En ejecución,FLM,Federación Luterana Mundial Arauca,Agencia Cooperación,305259,Protección,1315 Directos,,,Arauca
